iter	Logloss
0	0.6867158683
1	0.6616446161
2	0.637718386
3	0.6301203013
4	0.6115116027
5	0.5936465211
6	0.572817661
7	0.5678810484
8	0.5629551339
9	0.5469714665
10	0.5282572126
11	0.5103854823
12	0.5103807243
13	0.4933106386
14	0.4882072634
15	0.4721281229
16	0.4567622345
17	0.4420743938
18	0.430625578
19	0.4170814894
20	0.4041252947
21	0.3917278795
22	0.3842182099
23	0.3748618983
24	0.372085669
25	0.3631762629
26	0.3545896907
27	0.3442880146
28	0.3363612345
29	0.3284946349
30	0.3192700493
31	0.3104206914
32	0.301928348
33	0.2937757604
34	0.2919280822
35	0.2841730051
36	0.2782204567
37	0.2710007873
38	0.2709921983
39	0.2640518934
40	0.2586053692
41	0.2521381875
42	0.2459145638
43	0.2410457598
44	0.2352350095
45	0.2296374941
46	0.2253483992
47	0.2201086141
48	0.2161030559
49	0.2149248765
50	0.2137644001
51	0.208935392
52	0.2042754409
53	0.1997770892
54	0.1985550902
55	0.1942530783
56	0.1909775803
57	0.1869313345
58	0.1846096347
59	0.1807752692
60	0.1770669144
61	0.1734792714
62	0.1700073018
63	0.1680285499
64	0.164730175
65	0.1628545527
66	0.160334329
67	0.1572767359
68	0.1543131617
69	0.1514398566
70	0.148653248
71	0.1459499309
72	0.1433266594
73	0.1412926527
74	0.1393100934
75	0.1368805281
76	0.134520514
77	0.1327263351
78	0.1304835812
79	0.1292285738
80	0.1270831621
81	0.1254258367
82	0.1233847644
83	0.121398912
84	0.1194663
85	0.1175850349
86	0.116135832
87	0.1143420389
88	0.1129628599
89	0.1112510566
90	0.1095829055
91	0.1086600622
92	0.107398739
93	0.1061713737
94	0.1046304479
95	0.1034589095
96	0.1019844235
97	0.1005456501
98	0.09914142621
99	0.0977706348
